 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1,1089,54.766,0,200,16.500,16.500,0.785,1,1.000,1.000,1.000
2,1089,60.496,0,195,16.500,16.500,0.785,2,1.000,1.000,1.000
3,1089,61.544,0,181,16.500,16.500,0.785,3,1.000,1.000,1.000
4,1089,41.849,0,225,16.500,16.500,0.785,4,1.000,1.000,1.000
5,1089,58.712,0,183,16.500,16.500,0.785,5,1.000,1.000,1.000
6,1089,61.953,0,194,16.500,16.500,0.785,6,1.000,1.000,1.000
7,1089,53.620,0,195,16.500,16.500,0.785,7,1.000,1.000,1.000
8,1089,58.519,0,188,16.500,16.500,0.785,8,1.000,1.000,1.000
9,1089,59.091,0,195,16.500,16.500,0.785,9,1.000,1.000,1.000
10,1089,60.430,0,194,16.500,16.500,0.785,10,1.000,1.000,1.000
11,1089,48.682,0,186,16.500,16.500,0.785,11,1.000,1.000,1.000
12,1089,53.793,0,210,16.500,16.500,0.785,12,1.000,1.000,1.000
13,1089,62.231,0,206,16.500,16.500,0.785,13,1.000,1.000,1.000
14,1089,48.466,0,189,16.500,16.500,0.785,14,1.000,1.000,1.000
15,1089,53.776,0,189,16.500,16.500,0.785,15,1.000,1.000,1.000
16,1089,54.470,0,184,16.500,16.500,0.785,16,1.000,1.000,1.000
17,1089,42.792,0,196,16.500,16.500,0.785,17,1.000,1.000,1.000
18,1089,58.192,0,197,16.500,16.500,0.785,18,1.000,1.000,1.000
19,1089,61.113,0,201,16.500,16.500,0.785,19,1.000,1.000,1.000
20,1089,54.269,0,189,16.500,16.500,0.785,20,1.000,1.000,1.000
21,1089,62.056,0,198,16.500,16.500,0.785,21,1.000,1.000,1.000
22,1089,61.544,0,185,16.500,16.500,0.785,22,1.000,1.000,1.000
23,1089,41.982,0,182,16.500,16.500,0.785,23,1.000,1.000,1.000
24,1089,59.750,0,192,16.500,16.500,0.785,24,1.000,1.000,1.000
25,1089,47.993,0,182,16.500,16.500,0.785,25,1.000,1.000,1.000
26,1089,61.915,0,204,16.500,16.500,0.785,26,1.000,1.000,1.000
27,1089,48.284,0,190,16.500,16.500,0.785,27,1.000,1.000,1.000
28,1089,61.624,0,206,16.500,16.500,0.785,28,1.000,1.000,1.000
29,1089,49.107,0,183,16.500,16.500,0.785,29,1.000,1.000,1.000
30,1089,41.714,0,176,16.500,16.500,0.785,30,1.000,1.000,1.000
31,1089,42.368,0,189,16.500,16.500,0.785,31,1.000,1.000,1.000
32,1089,61.950,0,184,16.500,16.500,0.785,32,1.000,1.000,1.000
33,1089,61.302,0,197,16.500,16.500,0.785,33,1.000,1.000,1.000
34,1089,54.424,0,185,16.500,16.500,0.785,34,1.000,1.000,1.000
35,1089,42.028,0,187,16.500,16.500,0.785,35,1.000,1.000,1.000
36,1089,41.877,0,201,16.500,16.500,0.785,36,1.000,1.000,1.000
37,1089,62.802,0,195,16.500,16.500,0.785,37,1.000,1.000,1.000
38,1089,54.185,0,188,16.500,16.500,0.785,38,1.000,1.000,1.000
39,1089,61.319,0,188,16.500,16.500,0.785,39,1.000,1.000,1.000
40,1089,60.945,0,208,16.500,16.500,0.785,40,1.000,1.000,1.000
41,1089,54.136,0,202,16.500,16.500,0.785,41,1.000,1.000,1.000
42,1089,54.309,0,196,16.500,16.500,0.785,42,1.000,1.000,1.000
43,1089,62.104,0,189,16.500,16.500,0.785,43,1.000,1.000,1.000
