Index,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1,1089,65.701,0,254,16.500,16.500,0.785,1,1.000,1.000,1.000
2,1089,73.939,0,251,16.500,16.500,0.785,2,1.000,1.000,1.000
3,1089,73.571,0,236,16.500,16.500,0.785,3,1.000,1.000,1.000
4,1089,57.579,0,240,16.500,16.500,0.785,4,1.000,1.000,1.000
5,1089,72.111,0,251,16.500,16.500,0.785,5,1.000,1.000,1.000
6,1089,74.311,0,254,16.500,16.500,0.785,6,1.000,1.000,1.000
7,1089,67.624,0,252,16.500,16.500,0.785,7,1.000,1.000,1.000
8,1089,70.986,0,255,16.500,16.500,0.785,8,1.000,1.000,1.000
9,1089,71.455,0,254,16.500,16.500,0.785,9,1.000,1.000,1.000
10,1089,74.372,0,250,16.500,16.500,0.785,10,1.000,1.000,1.000
11,1089,62.916,0,253,16.500,16.500,0.785,11,1.000,1.000,1.000
12,1089,67.252,0,247,16.500,16.500,0.785,12,1.000,1.000,1.000
13,1089,74.192,0,251,16.500,16.500,0.785,13,1.000,1.000,1.000
14,1089,63.676,0,244,16.500,16.500,0.785,14,1.000,1.000,1.000
15,1089,66.968,0,251,16.500,16.500,0.785,15,1.000,1.000,1.000
16,1089,67.521,0,249,16.500,16.500,0.785,16,1.000,1.000,1.000
17,1089,57.346,0,243,16.500,16.500,0.785,17,1.000,1.000,1.000
18,1089,71.870,0,250,16.500,16.500,0.785,18,1.000,1.000,1.000
19,1089,74.966,0,248,16.500,16.500,0.785,19,1.000,1.000,1.000
20,1089,68.469,0,252,16.500,16.500,0.785,20,1.000,1.000,1.000
21,1089,70.399,0,246,16.500,16.500,0.785,21,1.000,1.000,1.000
22,1089,73.455,0,254,16.500,16.500,0.785,22,1.000,1.000,1.000
23,1089,57.044,0,229,16.500,16.500,0.785,23,1.000,1.000,1.000
24,1089,72.741,0,253,16.500,16.500,0.785,24,1.000,1.000,1.000
25,1089,61.713,0,246,16.500,16.500,0.785,25,1.000,1.000,1.000
26,1089,73.003,0,245,16.500,16.500,0.785,26,1.000,1.000,1.000
27,1089,63.093,0,222,16.500,16.500,0.785,27,1.000,1.000,1.000
28,1089,74.696,0,239,16.500,16.500,0.785,28,1.000,1.000,1.000
29,1089,61.234,0,254,16.500,16.500,0.785,29,1.000,1.000,1.000
